"model","growth_median_pct","rev_gain_mean","net_profit_mean","net_profit_lo95","net_profit_hi95","p_profitable","be_meal_median","be_meal_lo95","be_meal_hi95"
"unadjusted",14.28,0.142,0.117,0.014,0.225,0.984,39.8,12.08,68.88
"adjusted",8.05,0.08,0.056,0.003,0.115,0.979,23.16,9.02,39.24
