"feed_opex_share","80g","90g","100g","110g","120g","130g"
"feed_10%",16.23,15.31,14.52,13.85,13.26,12.75
"feed_15%",11.34,10.76,10.27,9.84,9.47,9.15
"feed_20%",8.9,8.49,8.14,7.84,7.58,7.35
"feed_25%",7.43,7.12,6.86,6.64,6.44,6.27
"feed_30%",6.46,6.22,6.01,5.84,5.69,5.55
