"feed_opex_share","80g","90g","100g","110g","120g","130g"
"feed_10%",26.78,25.18,23.83,22.67,21.66,20.77
"feed_15%",18.35,17.34,16.49,15.76,15.13,14.57
"feed_20%",14.14,13.43,12.83,12.31,11.86,11.47
"feed_25%",11.61,11.07,10.62,10.24,9.9,9.6
"feed_30%",9.92,9.51,9.16,8.86,8.59,8.36
