"feed_opex_share","80g","90g","100g","110g","120g","130g"
"feed_10%",12.47,11.78,11.2,10.7,10.27,9.89
"feed_15%",8.84,8.41,8.05,7.73,7.46,7.22
"feed_20%",7.03,6.73,6.47,6.25,6.05,5.88
"feed_25%",5.94,5.72,5.52,5.36,5.21,5.08
"feed_30%",5.22,5.04,4.89,4.76,4.65,4.55
