tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.35,55.63,295.74,37.46,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.39,62.50,351.44,46.83,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.75,59.24,356.89,58.42,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.19,54.87,279.59,33.86,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.84,62.79,335.80,36.58,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,90.38,64.68,455.54,96.25,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,54.13,47.88,206.47,20.12,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,57.23,55.08,250.10,23.85,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.86,62.67,314.30,31.76,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.50,59.47,310.35,37.71,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.36,53.74,272.87,37.46,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.41,58.74,303.26,34.21,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,56.88,51.23,236.59,23.41,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,63.24,55.04,271.58,32.35,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.86,56.04,272.97,27.35,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.25,66.45,378.47,46.56,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.28,58.90,365.11,64.51,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.36,56.69,269.44,29.50,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.18,53.68,262.87,30.72,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.66,50.69,289.16,53.70,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.22,65.22,365.54,40.77,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.85,63.66,334.35,38.31,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,67.52,59.15,320.21,39.50,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.44,58.81,317.68,43.03,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,57.91,55.96,256.68,24.72,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.70,56.33,271.88,30.00,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.76,59.91,320.82,45.59,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,72.83,57.26,335.31,49.77,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,57.38,52.89,241.51,24.04,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.01,59.27,309.34,33.56,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.56,58.20,290.74,28.34,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.76,54.36,302.38,41.77,0.75
